ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2004,2004-09-12,1,24.260,CIN,@,NYJ,L 24-31,*,18,27,66.67,248,2,1,105.2,1,10,9.19,9.00,2,10,5.00,0,,0,0,0.0,,
2,2004,2004-09-19,2,24.267,CIN,,MIA,W 16-13,*,21,38,55.26,147,0,1,53.3,5,31,3.87,2.68,0,0,,0,,0,0,0.0,,
3,2004,2004-09-26,3,24.274,CIN,,BAL,L 9-23,*,25,52,48.08,316,0,3,43.4,4,27,6.08,3.48,1,2,2.00,0,,0,0,0.0,,
4,2004,2004-10-03,4,24.281,CIN,@,PIT,L 17-28,*,20,37,54.05,164,1,2,52.1,1,8,4.43,2.54,1,1,1.00,0,,0,0,0.0,,
5,2004,2004-10-17,5,24.295,CIN,@,CLE,L 17-34,*,20,36,55.56,148,1,1,63.2,3,17,4.11,3.42,0,0,,0,,0,0,0.0,,
6,2004,2004-10-25,6,24.303,CIN,,DEN,W 23-10,*,12,21,57.14,198,1,1,85.0,1,10,9.43,8.24,4,0,0.00,0,,0,0,0.0,,
7,2004,2004-10-31,7,24.309,CIN,@,TEN,L 20-27,*,20,36,55.56,247,0,1,65.4,4,30,6.86,5.61,0,0,,0,,0,0,0.0,,
8,2004,2004-11-07,8,24.316,CIN,,DAL,W 26-3,*,21,32,65.63,212,1,0,94.8,0,0,6.63,7.25,2,1,0.50,1,,1,6,0.0,,
9,2004,2004-11-14,9,24.323,CIN,@,WAS,W 17-10,*,24,39,61.54,217,1,2,63.7,0,0,5.56,3.77,2,-3,-1.50,0,,0,0,0.0,,
10,2004,2004-11-21,10,24.330,CIN,,PIT,L 14-19,*,13,25,52.00,165,2,1,82.9,3,18,6.60,6.40,0,0,,0,,0,0,0.0,,
11,2004,2004-11-28,11,24.337,CIN,,CLE,W 58-48,*,22,29,75.86,251,4,3,101.4,0,0,8.66,6.76,2,10,5.00,0,,0,0,0.0,,
12,2004,2004-12-05,12,24.344,CIN,@,BAL,W 27-26,*,29,36,80.56,382,3,1,127.1,3,27,10.61,11.03,2,7,3.50,0,,0,0,0.0,,
13,2004,2004-12-12,13,24.351,CIN,@,NWE,L 28-35,*,18,24,75.00,202,2,1,110.1,0,0,8.42,8.21,2,19,9.50,0,,0,0,0.0,,
14,2005,2005-09-11,1,25.258,CIN,@,CLE,W 27-13,*,26,34,76.47,280,2,1,107.5,2,8,8.24,8.09,0,0,,0,,0,0,0.0,,
15,2005,2005-09-18,2,25.265,CIN,,MIN,W 37-8,*,27,40,67.50,337,3,1,108.0,0,0,8.43,8.80,4,3,0.75,0,,0,0,0.0,,
