ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
71,2012,2012-11-11,9,27.178,ATL,@,NOR,L 27-31,*,34,52,65.38,411,3,1,100.7,1,3,7.90,8.19,2,2,1.00,0,,0,0,0.0,0,0
72,2012,2012-11-18,10,27.185,ATL,,ARI,W 23-19,*,28,46,60.87,301,0,5,40.5,1,5,6.54,1.65,3,-3,-1.00,0,,0,0,0.0,0,0
73,2012,2012-11-25,11,27.192,ATL,@,TAM,W 24-23,*,26,32,81.25,353,1,1,110.0,1,8,11.03,10.25,1,13,13.00,0,,0,0,0.0,0,0
74,2012,2012-11-29,12,27.196,ATL,,NOR,W 23-13,*,18,33,54.55,165,1,0,78.5,1,6,5.00,5.61,3,-2,-0.67,0,,0,0,0.0,0,0
75,2012,2012-12-09,13,27.206,ATL,@,CAR,L 20-30,*,34,49,69.39,342,2,1,94.1,2,15,6.98,6.88,0,0,,0,,0,0,0.0,0,0
76,2012,2012-12-16,14,27.213,ATL,,NYG,W 34-0,*,23,28,82.14,270,3,0,142.6,1,5,9.64,11.79,1,-1,-1.00,0,,0,0,0.0,0,0
77,2012,2012-12-22,15,27.219,ATL,@,DET,W 31-18,*,25,32,78.13,279,4,0,142.6,1,8,8.72,11.22,2,25,12.50,0,,0,0,0.0,0,0
78,2012,2012-12-30,16,27.227,ATL,,TAM,L 17-22,*,28,44,63.64,238,1,0,85.2,2,25,5.41,5.86,2,11,5.50,0,,0,0,0.0,0,0
79,2013,2013-09-08,1,28.114,ATL,@,NOR,L 17-23,*,25,38,65.79,304,2,1,96.8,3,25,8.00,7.87,1,12,12.00,0,,0,0,0.0,0,0
80,2013,2013-09-15,2,28.121,ATL,,STL,W 31-24,*,33,43,76.74,374,2,0,117.8,2,17,8.70,9.63,0,0,,0,,0,0,0.0,0,0
81,2013,2013-09-22,3,28.128,ATL,@,MIA,L 23-27,*,23,38,60.53,231,2,1,84.4,0,0,6.08,5.95,0,0,,0,,0,0,0.0,0,0
82,2013,2013-09-29,4,28.135,ATL,,NWE,L 23-30,*,34,54,62.96,421,2,1,91.7,2,22,7.80,7.70,0,0,,0,,0,0,0.0,0,0
83,2013,2013-10-07,5,28.143,ATL,,NYJ,L 28-30,*,36,45,80.00,319,2,0,111.0,2,12,7.09,7.98,0,0,,0,,0,0,0.0,0,0
84,2013,2013-10-20,6,28.156,ATL,,TAM,W 31-23,*,20,26,76.92,273,3,0,148.4,0,0,10.50,12.81,3,-12,-4.00,0,,0,0,0.0,0,0
85,2013,2013-10-27,7,28.163,ATL,@,ARI,L 13-27,*,34,61,55.74,301,1,4,47.2,4,36,4.93,2.31,1,13,13.00,0,,0,0,0.0,0,0
86,2013,2013-11-03,8,28.170,ATL,@,CAR,L 10-34,*,20,27,74.07,219,1,3,70.4,1,8,8.11,3.85,2,2,1.00,0,,0,0,0.0,0,0
87,2013,2013-11-10,9,28.177,ATL,,SEA,L 10-33,*,23,36,63.89,172,1,0,84.5,2,10,4.78,5.33,3,15,5.00,0,,0,0,0.0,0,0
88,2013,2013-11-17,10,28.184,ATL,@,TAM,L 28-41,*,19,36,52.78,254,2,2,70.8,3,20,7.06,5.67,0,0,,0,,0,0,0.0,0,0
89,2013,2013-11-21,11,28.188,ATL,,NOR,L 13-17,*,30,39,76.92,292,0,0,97.4,5,28,7.49,7.49,2,10,5.00,0,,0,0,0.0,0,0
90,2013,2013-12-01,12,28.198,ATL,@,BUF,W 34-31,*,28,47,59.57,311,1,0,86.4,6,39,6.62,7.04,2,17,8.50,0,,0,0,0.0,0,0
91,2013,2013-12-08,13,28.205,ATL,@,GNB,L 21-22,*,20,35,57.14,206,2,1,81.4,1,4,5.89,5.74,0,0,,0,,0,0,0.0,0,0
92,2013,2013-12-15,14,28.212,ATL,,WAS,W 27-26,*,29,38,76.32,210,1,1,86.5,3,21,5.53,4.87,1,-1,-1.00,0,,0,0,0.0,0,0
93,2013,2013-12-23,15,28.220,ATL,@,SFO,L 24-34,*,37,48,77.08,348,2,2,93.1,1,7,7.25,6.21,0,0,,0,,0,0,0.0,0,0
94,2013,2013-12-29,16,28.226,ATL,,CAR,L 20-21,*,28,40,70.00,280,2,1,95.8,9,49,7.00,6.88,2,-1,-0.50,0,,0,0,0.0,0,0
95,2014,2014-09-07,1,29.113,ATL,,NOR,W 37-34,*,31,43,72.09,448,3,0,128.8,1,3,10.42,11.81,3,15,5.00,0,,0,0,0.0,0,0
96,2014,2014-09-14,2,29.120,ATL,@,CIN,L 10-24,*,24,44,54.55,231,1,3,48.6,2,19,5.25,2.64,3,28,9.33,0,,0,0,0.0,0,0
97,2014,2014-09-18,3,29.124,ATL,,TAM,W 56-14,*,21,24,87.50,286,3,0,155.9,1,6,11.92,14.42,1,2,2.00,0,,0,0,0.0,0,0
98,2014,2014-09-28,4,29.134,ATL,@,MIN,L 28-41,*,25,41,60.98,298,3,2,87.2,1,10,7.27,6.54,2,2,1.00,0,,0,0,0.0,0,0
99,2014,2014-10-05,5,29.141,ATL,@,NYG,L 20-30,*,29,45,64.44,316,1,1,83.2,1,9,7.02,6.47,0,0,,0,,0,0,0.0,0,0
100,2014,2014-10-12,6,29.148,ATL,,CHI,L 13-27,*,19,37,51.35,271,1,1,73.1,4,26,7.32,6.65,1,-1,-1.00,0,,0,0,0.0,0,0
101,2014,2014-10-19,7,29.155,ATL,@,BAL,L 7-29,*,29,44,65.91,228,1,0,86.2,5,42,5.18,5.64,1,7,7.00,0,,0,0,0.0,0,0
102,2014,2014-10-26,8,29.162,ATL,,DET,L 21-22,*,20,27,74.07,228,2,1,108.3,2,15,8.44,8.26,1,6,6.00,0,,0,0,0.0,0,0
103,2014,2014-11-09,9,29.176,ATL,@,TAM,W 27-17,*,20,31,64.52,219,1,0,96.0,1,7,7.06,7.71,3,9,3.00,0,,0,0,0.0,0,0
104,2014,2014-11-16,10,29.183,ATL,@,CAR,W 19-17,*,31,45,68.89,268,1,0,91.7,2,8,5.96,6.40,1,4,4.00,0,,0,0,0.0,0,0
105,2014,2014-11-23,11,29.190,ATL,,CLE,L 24-26,*,27,43,62.79,273,2,1,86.7,3,21,6.35,6.23,2,6,3.00,0,,0,0,0.0,0,0
