ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
118,1988,1988-11-24,13,33.262,MIN,@,DET,W 23-0,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,
119,1988,1988-12-04,14,33.272,MIN,,NOR,W 45-3,,2,2,100.00,8,0,0,83.3,0,0,4.00,4.00,1,-2,-2.00,0,0,0,,0,0,0
120,1988,1988-12-19,16,33.287,MIN,,CHI,W 28-27,,1,7,14.29,13,0,1,0.0,0,0,1.86,-4.57,3,-4,-1.33,0,0,0,,0,0,0
121,1989,1989-09-24,3,34.201,MIN,@,PIT,L 14-27,,3,8,37.50,48,0,1,18.7,2,9,6.00,0.38,0,0,,0,0,0,,0,0,0
122,1989,1989-10-01,4,34.208,MIN,,TAM,W 17-3,,18,32,56.25,190,2,2,68.5,1,9,5.94,4.38,2,3,1.50,0,0,0,,0,0,0
123,1989,1989-10-08,5,34.215,MIN,,DET,W 24-17,*,11,18,61.11,146,1,0,105.3,2,8,8.11,9.22,3,3,1.00,0,0,0,,0,0,0
124,1989,1989-10-15,6,34.222,MIN,,GNB,W 26-14,*,14,24,58.33,172,2,1,91.0,1,12,7.17,6.96,4,0,0.00,0,0,0,,0,0,0
125,1989,1989-10-22,7,34.229,MIN,@,DET,W 20-7,*,15,20,75.00,143,0,0,94.4,3,13,7.15,7.15,3,3,1.00,0,0,0,,0,0,0
126,1989,1989-10-30,8,34.237,MIN,@,NYG,L 14-24,*,10,18,55.56,127,1,2,56.7,3,24,7.06,3.17,0,0,,0,0,0,,0,0,0
127,1989,1989-12-10,14,34.278,MIN,,ATL,W 43-17,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,
128,1989,1989-12-17,15,34.285,MIN,@,CLE,L 17-23,,6,16,37.50,80,1,1,49.0,0,0,5.00,3.44,0,0,,0,0,0,,0,0,0
129,1990,1990-09-16,2,35.193,NOR,@,MIN,L 3-32,,1,3,33.33,2,0,1,2.8,2,11,0.67,-14.33,0,0,,0,0,0,,0,0,0
